StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
22	25	GO:0005562	RNA	RNA	SYN
22	33	GO:0003723	RNA Binding	RNA BINDING	PREF
26	33	GO:0005488	Binding	BINDING	PREF
34	41	GO:0003675	Protein	PROTEIN	SYN
126	133	GO:0000278	mitosis	MITOSIS	SYN
126	133	GO:0007067	mitosis	MITOSIS	SYN
165	168	GO:0005562	RNA	RNA	SYN
165	176	GO:0003723	RNA binding	RNA BINDING	PREF
169	176	GO:0005488	binding	BINDING	PREF
177	184	GO:0003675	protein	PROTEIN	SYN
236	239	GO:0005562	RNA	RNA	SYN
236	250	GO:0016070	RNA metabolism	RNA METABOLISM	SYN
240	250	GO:0008152	metabolism	METABOLISM	SYN
358	382	GO:0035825	homologous recombination	HOMOLOGOUS RECOMBINATION	PREF
838	841	GO:0005562	RNA	RNA	SYN
1053	1060	GO:0003675	protein	PROTEIN	SYN
1305	1330	GO:0045444	adipocyte differentiation	ADIPOCYTE DIFFERENTIATION	SYN
1610	1635	GO:0045444	adipocyte differentiation	ADIPOCYTE DIFFERENTIATION	SYN
1664	1690	GO:0001649	osteoblast differentiation	OSTEOBLAST DIFFERENTIATION	PREF
1768	1772	GO:0005623	cell	CELL	PREF
1756	1788	GO:0048762	mesenchymal cell differentiation	MESENCHYMAL CELL DIFFERENTIATION	PREF
1768	1788	GO:0030154	cell differentiation	CELL DIFFERENTIATION	PREF
1805	1815	GO:0008152	metabolism	METABOLISM	SYN
2238	2241	GO:0005562	RNA	RNA	SYN
2238	2249	GO:0003723	RNA binding	RNA BINDING	PREF
2242	2249	GO:0005488	binding	BINDING	PREF
2250	2257	GO:0003675	protein	PROTEIN	SYN
2261	2268	GO:0003675	protein	PROTEIN	SYN
2371	2376	GO:0007568	aging	AGING	PREF
2703	2708	GO:0007568	aging	AGING	PREF
2843	2847	GO:0005623	cell	CELL	PREF
2872	2882	GO:0008152	metabolism	METABOLISM	SYN
3023	3043	GO:0001501	skeletal development	SKELETAL DEVELOPMENT	SYN
3032	3043	GO:0032502	development	DEVELOPMENT	SYN
3339	3344	GO:0007568	aging	AGING	PREF
3514	3525	GO:0032502	development	DEVELOPMENT	SYN
3542	3547	GO:0007568	aging	AGING	PREF
3741	3747	GO:0040007	growth	GROWTH	PREF
3861	3872	GO:0032502	development	DEVELOPMENT	SYN
3856	3872	GO:0060348	bone development	BONE DEVELOPMENT	PREF
3964	3979	GO:0045453	bone resorption	BONE RESORPTION	PREF
4380	4384	GO:0005623	cell	CELL	PREF
4385	4394	GO:0097194	apoptosis	APOPTOSIS	SYN
4385	4394	GO:0006915	apoptosis	APOPTOSIS	SYN
4634	4639	GO:0007568	Aging	AGING	PREF
4841	4845	GO:0005623	cell	CELL	PREF
5062	5066	GO:0005623	cell	CELL	PREF
5062	5085	GO:0001709	cell fate determination	CELL FATE DETERMINATION	PREF
5130	5140	GO:0005777	peroxisome	PEROXISOME	PREF
5213	5216	GO:0005562	RNA	RNA	SYN
5213	5224	GO:0003723	RNA binding	RNA BINDING	PREF
5217	5224	GO:0005488	binding	BINDING	PREF
5267	5270	GO:0005562	RNA	RNA	SYN
5267	5278	GO:0003723	RNA binding	RNA BINDING	PREF
5271	5278	GO:0005488	binding	BINDING	PREF
5616	5619	GO:0005562	RNA	RNA	SYN
5616	5627	GO:0003723	RNA binding	RNA BINDING	PREF
5620	5627	GO:0005488	binding	BINDING	PREF
5628	5635	GO:0003675	protein	PROTEIN	SYN
5660	5671	GO:0042552	myelination	MYELINATION	PREF
5752	5761	GO:0009058	formation	FORMATION	SYN
5847	5851	GO:0005623	cell	CELL	PREF
5847	5870	GO:0001709	cell fate determination	CELL FATE DETERMINATION	PREF
5895	5902	GO:0003675	protein	PROTEIN	SYN
6006	6013	GO:0003675	protein	PROTEIN	SYN
6146	6153	GO:0000278	mitosis	MITOSIS	SYN
6146	6153	GO:0007067	mitosis	MITOSIS	SYN
6216	6219	GO:0005562	RNA	RNA	SYN
6216	6227	GO:0003723	RNA binding	RNA BINDING	PREF
6220	6227	GO:0005488	binding	BINDING	PREF
6356	6363	GO:0003675	protein	PROTEIN	SYN
6540	6543	GO:0005562	RNA	RNA	SYN
6565	6568	GO:0003904	pre	PRE	SYN
6569	6584	GO:0006397	mRNA processing	MRNA PROCESSING	PREF
7317	7321	GO:0005623	cell	CELL	PREF
7305	7337	GO:0048762	mesenchymal cell differentiation	MESENCHYMAL CELL DIFFERENTIATION	PREF
7317	7337	GO:0030154	cell differentiation	CELL DIFFERENTIATION	PREF
7404	7414	GO:0008152	metabolism	METABOLISM	SYN
7416	7428	GO:0031099	regeneration	REGENERATION	PREF
7448	7453	GO:0007568	aging	AGING	PREF
7606	7613	GO:0003675	protein	PROTEIN	SYN
7789	7797	GO:0019815	antibody	ANTIBODY	SYN
7789	7797	GO:0042571	antibody	ANTIBODY	SYN
7789	7797	GO:0003823	antibody	ANTIBODY	SYN
7909	7916	GO:0003675	protein	PROTEIN	SYN
8085	8092	GO:0005634	nucleus	NUCLEUS	PREF
8207	8213	GO:0030428	septum	SEPTUM	SYN
8802	8809	GO:0003675	protein	PROTEIN	SYN
8962	8973	GO:0032502	Development	DEVELOPMENT	SYN
9159	9162	GO:0005562	RNA	RNA	SYN
9159	9170	GO:0003723	RNA binding	RNA BINDING	PREF
9163	9170	GO:0005488	binding	BINDING	PREF
9301	9304	GO:0005574	DNA	DNA	SYN
9455	9462	GO:0003675	protein	PROTEIN	SYN
9655	9663	GO:0019815	antibody	ANTIBODY	SYN
9655	9663	GO:0042571	antibody	ANTIBODY	SYN
9655	9663	GO:0003823	antibody	ANTIBODY	SYN
10208	10215	GO:0000278	mitosis	MITOSIS	SYN
10208	10215	GO:0007067	mitosis	MITOSIS	SYN
10557	10567	GO:0008152	metabolism	METABOLISM	SYN
13947	13962	GO:0046849	Bone Remodeling	BONE REMODELING	PREF
14267	14278	GO:0016791	phosphatase	PHOSPHATASE	SYN
14399	14410	GO:0016791	phosphatase	PHOSPHATASE	SYN
17310	17336	GO:0001649	osteoblast differentiation	OSTEOBLAST DIFFERENTIATION	PREF
17665	17691	GO:0001649	osteoblast differentiation	OSTEOBLAST DIFFERENTIATION	PREF
17745	17748	GO:0005562	RNA	RNA	SYN
17798	17806	GO:0005202	collagen	COLLAGEN	SYN
18314	18339	GO:0045444	Adipocyte Differentiation	ADIPOCYTE DIFFERENTIATION	SYN
18353	18379	GO:0001649	Osteoblast Differentiation	OSTEOBLAST DIFFERENTIATION	PREF
19005	19015	GO:0065007	regulation	REGULATION	SYN
