StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
691	694	GO:0005574	DNA	DNA	SYN
691	701	GO:0006281	DNA repair	DNA REPAIR	PREF
712	725	GO:0006351	transcription	TRANSCRIPTION	SYN
1120	1133	GO:0006351	transcription	TRANSCRIPTION	SYN
2034	2038	GO:0005623	cell	CELL	PREF
2981	2994	GO:0006351	transcription	TRANSCRIPTION	SYN
2995	2998	GO:0005574	DNA	DNA	SYN
2995	3005	GO:0006281	DNA repair	DNA REPAIR	PREF
3123	3136	GO:0006351	transcription	TRANSCRIPTION	SYN
3152	3155	GO:0005574	DNA	DNA	SYN
3206	3209	GO:0006289	NER	NER	SYN
3484	3496	GO:0043473	pigmentation	PIGMENTATION	PREF
3603	3609	GO:0040007	growth	GROWTH	PREF
3763	3769	GO:0040007	growth	GROWTH	PREF
4028	4041	GO:0006351	transcription	TRANSCRIPTION	SYN
4061	4065	GO:0005623	cell	CELL	PREF
5438	5444	GO:0007568	ageing	AGEING	SYN
5475	5478	GO:0005574	DNA	DNA	SYN
5475	5485	GO:0006281	DNA repair	DNA REPAIR	PREF
5999	6002	GO:0005562	RNA	RNA	SYN
6111	6118	GO:0003675	protein	PROTEIN	SYN
6576	6583	GO:0003675	protein	PROTEIN	SYN
6752	6765	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
6752	6765	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
6752	6765	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
7400	7403	GO:0004239	map	MAP	SYN
7858	7864	GO:0001524	globin	GLOBIN	SYN
7858	7864	GO:0005344	globin	GLOBIN	SYN
7980	7986	GO:0001524	globin	GLOBIN	SYN
7980	7986	GO:0005344	globin	GLOBIN	SYN
8338	8342	GO:0043863	HpaI	HPAI	SYN
8408	8411	GO:0005574	DNA	DNA	SYN
8475	8479	GO:0005623	cell	CELL	PREF
8922	8926	GO:0005623	cell	CELL	PREF
9093	9096	GO:0005562	RNA	RNA	SYN
9454	9457	GO:0005562	RNA	RNA	SYN
10481	10488	GO:0003675	protein	PROTEIN	SYN
10926	10936	GO:0042633	hair cycle	HAIR CYCLE	PREF
11096	11106	GO:0042633	hair cycle	HAIR CYCLE	PREF
13785	13791	GO:0007568	ageing	AGEING	SYN
15026	15032	GO:0007568	Ageing	AGEING	SYN
16499	16505	GO:0007568	ageing	AGEING	SYN
16982	16985	GO:0005574	DNA	DNA	SYN
16982	16995	GO:0071897	DNA synthesis	DNA SYNTHESIS	SYN
16986	16995	GO:0009058	synthesis	SYNTHESIS	SYN
17039	17042	GO:0005562	RNA	RNA	SYN
17043	17052	GO:0009058	synthesis	SYNTHESIS	SYN
17039	17052	GO:0032774	RNA synthesis	RNA SYNTHESIS	SYN
17121	17124	GO:0006289	NER	NER	SYN
17152	17155	GO:0006289	NER	NER	SYN
17138	17155	GO:0070911	global genome NER	GLOBAL GENOME NER	SYN
17160	17173	GO:0006351	transcription	TRANSCRIPTION	SYN
17182	17185	GO:0006289	NER	NER	SYN
17160	17185	GO:0006283	transcription-coupled NER	TRANSCRIPTION-COUPLED NER	SYN
17197	17200	GO:0006289	NER	NER	SYN
17248	17262	GO:0009411	response to UV	RESPONSE TO UV	PREF
18487	18500	GO:0009650	UV resistance	UV RESISTANCE	SYN
18611	18614	GO:0006289	NER	NER	SYN
18890	18893	GO:0006289	NER	NER	SYN
19665	19669	GO:0005623	cell	CELL	PREF
19925	19929	GO:0005623	cell	CELL	PREF
20129	20142	GO:0006351	transcription	TRANSCRIPTION	SYN
20129	20157	GO:0006283	transcription-coupled repair	TRANSCRIPTION-COUPLED REPAIR	SYN
20289	20293	GO:0005623	cell	CELL	PREF
20441	20444	GO:0006289	NER	NER	SYN
20579	20585	GO:0016538	cyclin	CYCLIN	SYN
20659	20662	GO:0005662	RPA	RPA	SYN
20694	20697	GO:0006289	NER	NER	SYN
21301	21305	GO:0005623	cell	CELL	PREF
21711	21715	GO:0005623	cell	CELL	PREF
