StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
113	121	GO:0045292	splicing	SPLICING	SYN
1610	1614	GO:0005623	cell	CELL	PREF
2365	2380	GO:0010467	gene expression	GENE EXPRESSION	PREF
2784	2803	GO:0007165	signal transduction	SIGNAL TRANSDUCTION	PREF
2791	2803	GO:0009293	transduction	TRANSDUCTION	PREF
3114	3127	GO:0016021	transmembrane	TRANSMEMBRANE	SYN
3114	3127	GO:0044214	transmembrane	TRANSMEMBRANE	SYN
3401	3405	GO:0005623	cell	CELL	PREF
4127	4144	GO:0015144	sugar transporter	SUGAR TRANSPORTER	SYN
4127	4144	GO:0015608	sugar transporter	SUGAR TRANSPORTER	SYN
4127	4144	GO:0005351	sugar transporter	SUGAR TRANSPORTER	SYN
4289	4294	GO:0050909	taste	TASTE	SYN
4644	4654	GO:0006935	chemotaxis	CHEMOTAXIS	PREF
5495	5498	GO:0005574	DNA	DNA	SYN
5495	5512	GO:0006310	DNA recombination	DNA RECOMBINATION	PREF
5634	5640	GO:1990277	mating	MATING	SYN
5634	5640	GO:0007618	mating	MATING	PREF
5634	5640	GO:0009291	mating	MATING	SYN
5634	5640	GO:0000747	mating	MATING	SYN
5675	5689	GO:0003823	immunoglobulin	IMMUNOGLOBULIN	SYN
5764	5777	GO:0006351	transcription	TRANSCRIPTION	SYN
5764	5784	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
5764	5792	GO:0008134	transcription factor binding	TRANSCRIPTION FACTOR BINDING	PREF
5785	5792	GO:0005488	binding	BINDING	PREF
6014	6027	GO:0006351	transcription	TRANSCRIPTION	SYN
6042	6046	GO:0005623	cell	CELL	PREF
6657	6670	GO:0006351	transcription	TRANSCRIPTION	SYN
6657	6677	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
6657	6685	GO:0008134	transcription factor binding	TRANSCRIPTION FACTOR BINDING	PREF
6678	6685	GO:0005488	binding	BINDING	PREF
9170	9173	GO:0005574	DNA	DNA	SYN
10124	10131	GO:0003675	protein	PROTEIN	SYN
10154	10161	GO:0003675	protein	PROTEIN	SYN
13765	13778	GO:0016021	transmembrane	TRANSMEMBRANE	SYN
13765	13778	GO:0044214	transmembrane	TRANSMEMBRANE	SYN
14252	14255	GO:0005574	DNA	DNA	SYN
14575	14578	GO:0005562	RNA	RNA	SYN
15200	15203	GO:0005562	RNA	RNA	SYN
16894	16898	GO:0005623	cell	CELL	PREF
17575	17578	GO:0005562	RNA	RNA	SYN
17643	17646	GO:0005574	DNA	DNA	SYN
20010	20013	GO:0005562	RNA	RNA	SYN
20098	20102	GO:0005623	cell	CELL	PREF
20180	20184	GO:0005623	cell	CELL	PREF
20394	20398	GO:0005623	cell	CELL	PREF
20472	20476	GO:0005623	cell	CELL	PREF
20546	20549	GO:0005562	RNA	RNA	SYN
20773	20781	GO:0045292	splicing	SPLICING	SYN
21028	21036	GO:0045292	splicing	SPLICING	SYN
21225	21233	GO:0045292	splicing	SPLICING	SYN
22248	22256	GO:0045292	splicing	SPLICING	SYN
22423	22430	GO:0003675	protein	PROTEIN	SYN
22509	22516	GO:0003675	protein	PROTEIN	SYN
22850	22858	GO:0045292	splicing	SPLICING	SYN
23071	23078	GO:0003675	protein	PROTEIN	SYN
23533	23541	GO:0045292	splicing	SPLICING	SYN
23884	23892	GO:0045292	splicing	SPLICING	SYN
24035	24043	GO:0045292	splicing	SPLICING	SYN
24082	24114	GO:0046776	major histocompatibility complex	MAJOR HISTOCOMPATIBILITY COMPLEX	SYN
24251	24274	GO:0006355	transcriptional control	TRANSCRIPTIONAL CONTROL	SYN
24296	24299	GO:0005574	DNA	DNA	SYN
24296	24313	GO:0006310	DNA recombination	DNA RECOMBINATION	PREF
25324	25347	GO:0006355	transcriptional control	TRANSCRIPTIONAL CONTROL	SYN
25363	25366	GO:0005574	DNA	DNA	SYN
25363	25380	GO:0006310	DNA recombination	DNA RECOMBINATION	PREF
25469	25473	GO:0043336	rest	REST	SYN
26146	26149	GO:0005574	DNA	DNA	SYN
26146	26163	GO:0006310	DNA recombination	DNA RECOMBINATION	PREF
26325	26328	GO:0005574	DNA	DNA	SYN
26325	26342	GO:0006310	DNA recombination	DNA RECOMBINATION	PREF
26397	26407	GO:0065007	regulation	REGULATION	SYN
29758	29762	GO:0005623	cell	CELL	PREF
30064	30068	GO:0005623	cell	CELL	PREF
30398	30402	GO:0005623	cell	CELL	PREF
30511	30515	GO:0005623	cell	CELL	PREF
31427	31431	GO:0005623	cell	CELL	PREF
31482	31491	GO:0000785	chromatin	CHROMATIN	PREF
31543	31556	GO:0006351	Transcription	TRANSCRIPTION	SYN
32347	32362	GO:0035822	gene conversion	GENE CONVERSION	PREF
33000	33010	GO:0065007	regulation	REGULATION	SYN
33632	33639	GO:0003675	protein	PROTEIN	SYN
34512	34520	GO:0045292	splicing	SPLICING	SYN
34599	34607	GO:0045292	splicing	SPLICING	SYN
34667	34674	GO:0005634	nucleus	NUCLEUS	PREF
35088	35100	GO:0051179	localization	LOCALIZATION	PREF
35104	35115	GO:0009056	degradation	DEGRADATION	SYN
35419	35426	GO:0003675	protein	PROTEIN	SYN
35777	35785	GO:0045292	splicing	SPLICING	SYN
35801	35808	GO:0003675	protein	PROTEIN	SYN
35879	35887	GO:0045292	splicing	SPLICING	SYN
36252	36260	GO:0045292	splicing	SPLICING	SYN
36308	36311	GO:0005562	RNA	RNA	SYN
36308	36324	GO:0071025	RNA surveillance	RNA SURVEILLANCE	PREF
36539	36549	GO:0065007	regulation	REGULATION	SYN
36632	36636	GO:0005623	cell	CELL	PREF
36667	36670	GO:0005562	RNA	RNA	SYN
37359	37370	GO:0032502	development	DEVELOPMENT	SYN
38642	38657	GO:0010467	gene expression	GENE EXPRESSION	PREF
39460	39463	GO:0005574	DNA	DNA	SYN
39656	39660	GO:0034023	pure	PURE	SYN
40254	40257	GO:0005574	DNA	DNA	SYN
42758	42766	GO:0045292	splicing	SPLICING	SYN
44154	44161	GO:0003675	protein	PROTEIN	SYN
45228	45234	GO:0030428	septum	SEPTUM	SYN
45236	45239	GO:0005562	RNA	RNA	SYN
45282	45285	GO:0005020	kit	KIT	SYN
45395	45398	GO:0005562	RNA	RNA	SYN
45482	45495	GO:0003899	transcriptase	TRANSCRIPTASE	SYN
45482	45495	GO:0034062	transcriptase	TRANSCRIPTASE	SYN
45482	45495	GO:0003968	transcriptase	TRANSCRIPTASE	SYN
45890	45893	GO:0005020	kit	KIT	SYN
46226	46239	GO:0003899	transcriptase	TRANSCRIPTASE	SYN
46226	46239	GO:0034062	transcriptase	TRANSCRIPTASE	SYN
46226	46239	GO:0003968	transcriptase	TRANSCRIPTASE	SYN
46277	46280	GO:0005562	RNA	RNA	SYN
46323	46326	GO:0005574	DNA	DNA	SYN
46715	46718	GO:0005574	DNA	DNA	SYN
47019	47022	GO:0005562	RNA	RNA	SYN
47085	47088	GO:0005562	RNA	RNA	SYN
47238	47251	GO:0003899	transcriptase	TRANSCRIPTASE	SYN
47238	47251	GO:0034062	transcriptase	TRANSCRIPTASE	SYN
47238	47251	GO:0003968	transcriptase	TRANSCRIPTASE	SYN
47590	47593	GO:0005562	RNA	RNA	SYN
49445	49449	GO:0019013	core	CORE	SYN
50358	50361	GO:0005562	RNA	RNA	SYN
51396	51399	GO:0005562	RNA	RNA	SYN
51533	51536	GO:0005574	DNA	DNA	SYN
52394	52398	GO:0005623	cell	CELL	PREF
52400	52403	GO:0005562	RNA	RNA	SYN
52767	52775	GO:0045292	splicing	SPLICING	SYN
53095	53108	GO:0016021	transmembrane	TRANSMEMBRANE	SYN
53095	53108	GO:0044214	transmembrane	TRANSMEMBRANE	SYN
53138	53151	GO:0005622	intracellular	INTRACELLULAR	PREF
53161	53174	GO:0005576	extracellular	EXTRACELLULAR	SYN
53391	53399	GO:0045292	splicing	SPLICING	SYN
54569	54573	GO:0043336	rest	REST	SYN
54736	54749	GO:0016021	transmembrane	TRANSMEMBRANE	SYN
54736	54749	GO:0044214	transmembrane	TRANSMEMBRANE	SYN
