StartIndex	EndIndex	GO:ID	Term	OntoTerm
124	137	GO:0006351	transcription	transcription, DNA-templated
124	137	GO:0006351	transcription	transcription, DNA-templated
268	275	GO:0005488	binding	binding
414	426	GO:1990402	development.	embryonic liver developmentliver
1540	1549	GO:0009058	synthesis	biosynthetic process
1554	1566	GO:0031099	regeneration	regeneration
2192	2201	GO:0003675	proteins,	obsolete protein
2234	2245	GO:0042592	homeostasis	homeostatic process
2250	2264	GO:0098754	detoxification	detoxification
2289	2293	GO:0005488	bind	binding
2647	2651	GO:0019013	core	viral nucleocapsid
3322	3328	GO:0005172	factor	vascular endothelial growth factor receptor bindingendothelial growth
3351	3358	GO:0003675	protein	obsolete protein
3460	3471	GO:0032502	development	developmental process
3533	3547	GO:0009793	embryogenesis:	embryo development ending in seed dormancy
3652	3660	GO:0001906	necrosis	cell killing
5114	5126	GO:0005373	transporter.	obsolete heavy metal ion porter activityion
5201	5223	GO:0006749	glutathione metabolism	glutathione metabolic process
5976	5980	GO:0043863	HpaI	4-hydroxy-2-ketopimelate aldolase activity
6007	6012	GO:0005623	cells	cell
7980	7995	GO:0010467	Gene expression	gene expression
8265	8274	GO:0009058	Synthesis	biosynthetic process
8325	8338	GO:0006351	transcription	transcription, DNA-templated
9265	9271	GO:0023052	signal	signaling
9451	9455	GO:0019013	core	viral nucleocapsid
10054	10061	GO:0004422	(Hprt):	hypoxanthine phosphoribosyltransferase activity
10401	10408	GO:0004239	mapping	obsolete methionyl aminopeptidase activity
10713	10717	GO:0004422	Hprt	hypoxanthine phosphoribosyltransferase activity
10956	10963	GO:0003675	Protein	obsolete protein
10956	10963	GO:0003675	Protein	obsolete protein
11226	11233	GO:0005488	binding	binding
11226	11233	GO:0005488	binding	binding
13052	13056	GO:0005623	Cell	cell
13205	13210	GO:0004617	serum	phosphoglycerate dehydrogenase activity
13324	13329	GO:0005623	cells	cell
13324	13328	GO:0005623	cell	cell
13324	13329	GO:0005623	cells	cell
13324	13329	GO:0005623	cells	cell
13324	13329	GO:0005623	cells	cell
13324	13328	GO:0005623	cell	cell
13567	13571	GO:0005623	Cell	cell
14484	14489	GO:0005623	cells	cell
14484	14489	GO:0005623	cells	cell
14725	14746	GO:0006750	glutathione synthesis	glutathione biosynthetic process
14977	14995	GO:0008283	Cell Proliferation	cell proliferation
15917	15928	GO:0006412	translation	translation
15955	15962	GO:0003675	protein	obsolete protein
16457	16461	GO:0031672	band	A band
16493	16499	GO:0023052	signal	signaling
16627	16634	GO:0003675	protein	obsolete protein
16627	16634	GO:0003675	protein	obsolete protein
16675	16694	GO:0032993	protein–DNA complex	protein-DNA complex
17514	17521	GO:0023052	signals	signaling
17899	17914	GO:0010467	gene expression	gene expression
18361	18365	GO:0019013	core	viral nucleocapsid
18361	18365	GO:0019013	core	viral nucleocapsid
18361	18365	GO:0019013	core	viral nucleocapsid
18437	18450	GO:0006351	transcription	transcription, DNA-templated
19660	19675	GO:0006351	transcriptional	transcription, DNA-templated
19660	19673	GO:0006351	transcription	transcription, DNA-templated
19815	19822	GO:0005488	binding	binding
20387	20392	GO:0005515	binds	protein bindingthat
20723	20736	GO:0006351	transcription	transcription, DNA-templated
20970	20974	GO:0019013	core	viral nucleocapsid
21048	21061	GO:0006351	transcription	transcription, DNA-templated
21048	21061	GO:0006351	transcription	transcription, DNA-templated
21263	21270	GO:0005488	binding	binding
21263	21270	GO:0005488	binding	binding
22391	22395	GO:0019013	core	viral nucleocapsid
22456	22469	GO:0006351	transcription	transcription, DNA-templated
23006	23013	GO:0003675	protein	obsolete protein
23402	23410	GO:0003675	proteins	obsolete protein
23440	23450	GO:0007519	myogenesis	skeletal muscle tissue development
23801	23805	GO:0019013	core	viral nucleocapsid
23859	23872	GO:0006351	transcription	transcription, DNA-templated
23983	23990	GO:0005488	binding	binding
24052	24059	GO:0003675	protein	obsolete protein
24442	24450	GO:0003675	proteins	obsolete protein
24442	24449	GO:0003675	protein	obsolete protein
