StartIndex	EndIndex	GO:ID	Term	OntoTerm
57	65	GO:0003675	protein,	obsolete protein
312	321	GO:0003675	proteins,	obsolete protein
312	320	GO:0003675	proteins	obsolete protein
645	654	GO:0003675	protein).	obsolete protein
769	794	GO:0008594	photoreceptor development	photoreceptor cell morphogenesis
1008	1032	GO:0016568	chromatin modifications.	chromatin modification
1121	1136	GO:0010467	gene expression	gene expression
1140	1166	GO:0008594	photoreceptor development.	photoreceptor cell morphogenesis
1279	1304	GO:0048468	terminal differentiation,	cell development
1336	1349	GO:0006351	Transcription	transcription, DNA-templated
1408	1415	GO:0003675	protein	obsolete protein
1408	1415	GO:0003675	protein	obsolete protein
1596	1604	GO:0005634	nucleus,	nucleus
1643	1649	GO:0005623	cells.	cell
1761	1776	GO:0006351	transcriptional	transcription, DNA-templated
2150	2165	GO:0006351	transcriptional	transcription, DNA-templated
2260	2271	GO:0032502	development	developmental process
2260	2271	GO:0032502	development	developmental process
2316	2320	GO:0005623	cell	cell
2316	2320	GO:0005623	cell	cell
2316	2320	GO:0005623	cell	cell
2316	2320	GO:0005623	cell	cell
2386	2391	GO:0005623	cells	cell
2386	2391	GO:0005623	cells	cell
2386	2391	GO:0005623	cells	cell
2652	2659	GO:0007601	vision.	visual perception
2660	2678	GO:0007602	Phototransduction,	phototransduction
2691	2697	GO:0023052	signal	signaling
2821	2826	GO:0005488	bound	binding
2834	2839	GO:0007602	opsin	phototransduction
2840	2849	GO:0003675	proteins:	obsolete protein
2840	2848	GO:0003675	proteins	obsolete protein
2877	2883	GO:0007602	opsins	phototransduction
2922	2939	GO:0007602	phototransduction	phototransduction
2922	2939	GO:0007602	phototransduction	phototransduction
3368	3374	GO:0005623	cells,	cell
3649	3662	GO:0006351	transcription	transcription, DNA-templated
3649	3662	GO:0006351	transcription	transcription, DNA-templated
3649	3662	GO:0006351	transcription	transcription, DNA-templated
3666	3689	GO:0016568	chromatin modification.	chromatin modification
3759	3784	GO:0008594	photoreceptor development	photoreceptor cell morphogenesis
3877	3890	GO:0001709	determination	cell fate determinationfate
3895	3919	GO:0048468	terminal differentiation	cell development
4191	4200	GO:0009058	formation	biosynthetic process
4210	4218	GO:0001750	segments	photoreceptor outer segmentouter
4853	4862	GO:0030849	autosomal	autosome
