StartIndex	EndIndex	GO:ID	Term	OntoTerm
185	192	GO:0003675	protein	obsolete protein
513	521	GO:0003675	proteins	obsolete protein
513	521	GO:0003675	proteins	obsolete protein
513	520	GO:0003675	protein	obsolete protein
1278	1290	GO:0051179	localization	localization
1298	1314	GO:0005886	plasma membrane.	plasma membrane
1429	1440	GO:0032502	development	developmental process
1551	1558	GO:0003675	protein	obsolete protein
1594	1610	GO:0005886	plasma membrane.	plasma membrane
1667	1675	GO:0003675	proteins	obsolete protein
1688	1701	GO:0006811	ion transport	ion transport
1715	1720	GO:0005623	cells	cell
1827	1834	GO:0003675	protein	obsolete protein
1827	1834	GO:0003675	protein	obsolete protein
2449	2456	GO:0003675	protein	obsolete protein
2449	2456	GO:0003675	protein	obsolete protein
3618	3626	GO:0003675	proteins	obsolete protein
3790	3799	GO:0016020	membranes	membrane
4473	4477	GO:0043336	rest	site-specific telomere resolvase activity
5066	5074	GO:0003675	proteins	obsolete protein
5090	5110	GO:0008150	biological processes	biological_process
5468	5472	GO:0004239	maps	obsolete methionyl aminopeptidase activity
5468	5472	GO:0004239	maps	obsolete methionyl aminopeptidase activity
5476	5486	GO:0005694	chromosome	chromosome
5476	5486	GO:0005694	chromosome	chromosome
5476	5486	GO:0005694	chromosome	chromosome
6728	6736	GO:0003675	proteins	obsolete protein
6728	6736	GO:0003675	proteins	obsolete protein
6728	6735	GO:0003675	protein	obsolete protein
6728	6736	GO:0003675	proteins	obsolete protein
6728	6735	GO:0003675	protein	obsolete protein
6728	6736	GO:0003675	proteins	obsolete protein
6728	6736	GO:0003675	proteins	obsolete protein
7276	7284	GO:0003675	protein.	obsolete protein
8030	8038	GO:0003675	proteins	obsolete protein
8030	8038	GO:0003675	proteins	obsolete protein
8320	8327	GO:0003675	protein	obsolete protein
8320	8327	GO:0003675	protein	obsolete protein
8320	8327	GO:0003675	protein	obsolete protein
8320	8327	GO:0003675	protein	obsolete protein
9000	9008	GO:0003675	proteins	obsolete protein
9000	9007	GO:0003675	protein	obsolete protein
9299	9312	GO:0044214	transmembrane	spanning component of plasma membrane
9299	9312	GO:0044214	transmembrane	spanning component of plasma membrane
9414	9423	GO:0003675	proteins.	obsolete protein
9414	9422	GO:0003675	proteins	obsolete protein
9446	9459	GO:0005622	intracellular	intracellular
9446	9459	GO:0005622	intracellular	intracellular
9519	9527	GO:0003675	protein.	obsolete protein
