StartIndex	EndIndex	GO:ID	Term	OntoTerm
56	67	GO:0032502	Development	developmental process
102	118	GO:0008181	tumor suppressor	obsolete tumor suppressor
190	197	GO:0016055	pathway	Wnt signaling pathwaysignaling
218	229	GO:0032502	development	developmental process
218	229	GO:0032502	development	developmental process
460	465	GO:0007618	mated	mating
743	749	GO:0040007	growth	growth
743	749	GO:0040007	growth	growth
1024	1034	GO:0036074	metaplasia	metaplastic ossification
1385	1397	GO:0032502	development.	developmental process
1611	1627	GO:0008181	tumor suppressor	obsolete tumor suppressor
1954	1960	GO:0048513	organs	organ developmentand in
1995	2006	GO:0032502	development	developmental process
2160	2165	GO:0007618	mated	mating
2801	2808	GO:0016055	pathway	Wnt signaling pathwaysignaling
2905	2915	GO:0065007	regulation	biological regulation
2905	2915	GO:0065007	regulation	biological regulation
3005	3014	GO:0005829	cytosolic	cytosol
3073	3080	GO:0005634	nucleus	nucleus
3196	3205	GO:0003675	proteins,	obsolete protein
3267	3274	GO:0003777	kinesin	microtubule motor activity
3332	3345	GO:0005874	microtubules,	microtubule
3606	3611	GO:0051726	cycle	regulation of cell cycleof the cell
3616	3626	GO:0097194	apoptosis,	execution phase of apoptosis
3663	3672	GO:0098722	division,	asymmetric stem cell divisionstem cell
3688	3705	GO:0030010	cell polarization	establishment of cell polarity
3723	3739	GO:0008181	tumor suppressor	obsolete tumor suppressor
4632	4655	GO:0032502	developmental processes	developmental process
4632	4643	GO:0032502	development	developmental process
4632	4643	GO:0032502	development	developmental process
4632	4643	GO:0032502	development	developmental process
4705	4715	GO:0065007	regulation	biological regulation
4723	4732	GO:0023052	signaling	signaling
4754	4763	GO:0009880	formation	embryonic pattern specificationpattern
4768	4781	GO:0009653	morphogenesis	anatomical structure morphogenesis
5331	5345	GO:0009793	embryogenesis,	embryo development ending in seed dormancy
5391	5403	GO:0007369	gastrulation	gastrulation
5585	5589	GO:0007618	mate	mating
5685	5689	GO:0005623	cell	cell
5876	5881	GO:0007618	mated	mating
6004	6008	GO:0005623	cell	cell
6128	6139	GO:0032502	development	developmental process
6394	6406	GO:0032502	development,	developmental process
6449	6459	GO:0065007	regulation	biological regulation
6615	6626	GO:0032502	development	developmental process
6783	6788	GO:0005623	cells	cell
7097	7112	GO:0006351	transcriptional	transcription, DNA-templated
8159	8167	GO:0003675	protein.	obsolete protein
8881	8886	GO:0016265	death	death
8969	8981	GO:0032502	development.	developmental process
9047	9060	GO:0006351	transcription	transcription, DNA-templated
9065	9076	GO:0006412	translation	translation
12584	12589	GO:0007568	ages,	aging
12721	12733	GO:0043473	pigmentation	pigmentation
13064	13070	GO:0040007	Growth	growth
13563	13574	GO:0032502	Development	developmental process
14372	14383	GO:0042640	hair growth	anagen
14600	14605	GO:0016265	death	death
17517	17528	GO:0032502	development	developmental process
18020	18026	GO:0005623	cells.	cell
18020	18025	GO:0005623	cells	cell
18067	18078	GO:0009844	germinative	obsolete germination
18268	18274	GO:0042640	anagen	anagen
18288	18298	GO:0042633	hair cycle	hair cycle
