StartIndex	EndIndex	GO:ID	Term	OntoTerm
232	245	GO:0043473	pigmentation,	pigmentation
232	244	GO:0043473	pigmentation	pigmentation
232	244	GO:0043473	pigmentation	pigmentation
232	244	GO:0043473	pigmentation	pigmentation
1549	1553	GO:0005623	cell	cell
1851	1863	GO:0032502	development,	developmental process
2336	2354	GO:0007165	signaling pathways	signal transduction
3614	3627	GO:0043473	pigmentation.	pigmentation
3772	3776	GO:0005623	cell	cell
3846	3863	GO:0038001	paracrine signals	paracrine signaling
3961	3971	GO:0042633	hair cycle	hair cycle
4048	4064	GO:0048770	pigment granules	pigment granule
4365	4375	GO:0042470	melanosome	melanosome
5116	5123	GO:0003675	protein	obsolete protein
5116	5123	GO:0003675	protein	obsolete protein
5359	5369	GO:0042633	hair cycle	hair cycle
5854	5869	GO:0006351	transcriptional	transcription, DNA-templated
6019	6031	GO:0042640	hair growth,	anagen
6019	6031	GO:0042640	hair growth,	anagen
6662	6677	GO:0050931	differentiation	pigment cell differentiationcell
6706	6716	GO:0065007	regulatory	biological regulation
7489	7500	GO:0032502	development	developmental process
8208	8218	GO:0009058	synthesis,	biosynthetic process
9540	9552	GO:0043473	pigmentation	pigmentation
10614	10626	GO:0043473	pigmentation	pigmentation
11175	11187	GO:0042633	hair cycles,	hair cycle
12106	12118	GO:0043473	pigmentation	pigmentation
12480	12500	GO:0004097	tyrosinase activity,	catechol oxidase activity
12480	12499	GO:0004097	tyrosinase activity	catechol oxidase activity
13094	13105	GO:0042633	hair cycles	hair cycle
13277	13286	GO:0009058	synthesis	biosynthetic process
13542	13552	GO:0005694	Chromosome	chromosome
16011	16023	GO:0043473	pigmentation	pigmentation
16746	16772	GO:0030318	melanocyte differentiation	melanocyte differentiation
16777	16795	GO:0046148	pigment synthesis.	pigment biosynthetic process
17174	17190	GO:0043588	skin development	skin development
17360	17387	GO:0030318	melanocyte differentiation,	melanocyte differentiation
17413	17423	GO:0009058	synthesis,	biosynthetic process
17468	17479	GO:0042640	hair growth	anagen
17874	17884	GO:0005694	Chromosome	chromosome
17898	17904	GO:0004314	matted	[acyl-carrier-protein] S-malonyltransferase activity
18158	18169	GO:0032502	development	developmental process
19411	19421	GO:0005694	chromosome	chromosome
20531	20543	GO:0043473	pigmentation	pigmentation
21237	21243	GO:0043198	trunk,	dendritic shaft
21642	21653	GO:0032502	development	developmental process
21676	21680	GO:0031672	band	A band
22235	22240	GO:0005623	cells	cell
22335	22347	GO:0042640	hair growth,	anagen
23292	23297	GO:0005623	cells	cell
23327	23349	GO:0043473PHENOTYPE	pigmentation phenotype	pigmentation phenotype
23709	23721	GO:0043473	Pigmentation	pigmentation
23966	23975	GO:0009058	synthesis	biosynthetic process
25005	25020	GO:0010467	gene expression	gene expression
26208	26220	GO:0043473	pigmentation	pigmentation
26401	26418	GO:0043588	skin development,	skin development
26766	26770	GO:0005623	cell	cell
27401	27413	GO:0043473	pigmentation	pigmentation
27526	27538	GO:0043473	pigmentation	pigmentation
27526	27538	GO:0043473	pigmentation	pigmentation
27949	27955	GO:0043198	trunk.	dendritic shaft
28047	28051	GO:0031672	band	A band
28643	28655	GO:0043473	pigmentation	pigmentation
28643	28655	GO:0043473	pigmentation	pigmentation
28643	28655	GO:0043473	pigmentation	pigmentation
29670	29682	GO:0001942	development,	hair follicle developmentfollicle
29765	29777	GO:0043473	pigmentation	pigmentation
29860	29865	GO:0043198	trunk	dendritic shaft
30948	30965	GO:0060173	limb development,	limb development
30953	30964	GO:0032502	development	developmental process
31479	31494	GO:0010467	gene expression	gene expression
31499	31503	GO:0005623	cell	cell
33104	33115	GO:0032502	development	developmental process
34062	34067	GO:0043198	trunk	dendritic shaft
34296	34302	GO:0043198	trunk.	dendritic shaft
35012	35022	GO:0005694	Chromosome	chromosome
35012	35022	GO:0005694	Chromosome	chromosome
35968	35988	GO:0001501	skeletal development	skeletal system development
37066	37070	GO:0005623	cell	cell
37066	37071	GO:0005623	cells	cell
37691	37697	GO:0005623	cells.	cell
37698	37702	GO:0005623	Cell	cell
38159	38172	GO:0006351	transcription	transcription, DNA-templated
38865	38876	GO:0032502	development	developmental process
39387	39396	GO:0009058	synthesis	biosynthetic process
39387	39396	GO:0009058	synthesis	biosynthetic process
39839	39851	GO:0043473	pigmentation	pigmentation
40212	40217	GO:0043198	trunk	dendritic shaft
40212	40217	GO:0043198	trunk	dendritic shaft
40212	40217	GO:0043198	trunk	dendritic shaft
40561	40565	GO:0005623	cell	cell
41153	41160	GO:0031430	midline	M band
42054	42060	GO:0023052	signal	signaling
42073	42078	GO:0043198	trunk	dendritic shaft
42227	42232	GO:0005623	cells	cell
42297	42309	GO:0032502	development,	developmental process
42314	42326	GO:0042640	hair growth.	anagen
42462	42474	GO:0043473	pigmentation	pigmentation
42462	42474	GO:0043473	pigmentation	pigmentation
43160	43166	GO:0043198	trunk,	dendritic shaft
43551	43573	GO:0043473PHENOTYPE	pigmentation phenotype	pigmentation phenotype
43813	43825	GO:0032502	development;	developmental process
43998	44010	GO:0043473	Pigmentation	pigmentation
44194	44207	GO:0001756	somitogenesis	somitogenesis
44217	44228	GO:0032502	development	developmental process
44393	44397	GO:0005623	cell	cell
44393	44397	GO:0005623	cell	cell
44540	44552	GO:0043473	pigmentation	pigmentation
45063	45073	GO:0009058	synthesis,	biosynthetic process
45164	45176	GO:0043473	pigmentation	pigmentation
45619	45631	GO:0043473	pigmentation	pigmentation
45619	45631	GO:0043473	pigmentation	pigmentation
45619	45631	GO:0043473	pigmentation	pigmentation
46236	46246	GO:0065007	regulation	biological regulation
47625	47633	GO:0007618	matings,	mating
47894	47901	GO:0031430	midline	M band
49607	49618	GO:0005694	chromosomes	chromosome
49763	49770	GO:0004239	mapping	obsolete methionyl aminopeptidase activity
51599	51609	GO:0005694	chromosome	chromosome
51650	51661	GO:0005694	chromosome.	chromosome
51947	51962	GO:0006351	transcriptional	transcription, DNA-templated
53529	53536	GO:0042603	capsule	capsule
54034	54040	GO:0043198	trunk,	dendritic shaft
54678	54690	GO:0043473	pigmentation	pigmentation
55741	55754	GO:0043473	pigmentation.	pigmentation
57072	57088	GO:0043588	skin development	skin development
57497	57519	GO:0043473PHENOTYPE	Pigmentation Phenotype	pigmentation phenotype
58446	58458	GO:0043473	pigmentation	pigmentation
59147	59155	GO:0051321	meioses.	meiotic cell cycle
59419	59426	GO:0003675	protein	obsolete protein
62399	62411	GO:0043473	Pigmentation	pigmentation
62544	62551	GO:0031430	midline	M band
62987	62999	GO:0043473	pigmentation	pigmentation
63051	63063	GO:0043473	pigmentation	pigmentation
63458	63463	GO:0043198	Trunk	dendritic shaft
63502	63514	GO:0043473	pigmentation	pigmentation
64412	64417	GO:0043198	trunk	dendritic shaft
