StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
453	460	GO:0003675	protein	PROTEIN	SYN
1094	1101	GO:0042603	capsule	CAPSULE	PREF
1157	1169	GO:0005561	nucleic acid	NUCLEIC ACID	SYN
1566	1570	GO:0005623	cell	CELL	PREF
1571	1580	GO:0009058	formation	FORMATION	SYN
1644	1653	GO:0009058	formation	FORMATION	SYN
2775	2782	GO:0003675	protein	PROTEIN	SYN
2981	2988	GO:0005488	binding	BINDING	PREF
3261	3268	GO:0003675	protein	PROTEIN	SYN
3706	3713	GO:0003675	protein	PROTEIN	SYN
4064	4078	GO:0005884	actin filament	ACTIN FILAMENT	PREF
4079	4088	GO:0009058	formation	FORMATION	SYN
4317	4347	GO:0045098	type III intermediate filament	TYPE III INTERMEDIATE FILAMENT	PREF
4326	4347	GO:0005882	intermediate filament	INTERMEDIATE FILAMENT	PREF
4621	4624	GO:0022623	pan	PAN	SYN
4656	4667	GO:0032502	development	DEVELOPMENT	SYN
4737	4740	GO:0005574	DNA	DNA	SYN
4762	4765	GO:0043848	CHO	CHO	SYN
4827	4837	GO:0051325	interphase	INTERPHASE	PREF
4873	4880	GO:0003675	protein	PROTEIN	SYN
4888	4895	GO:0005634	nucleus	NUCLEUS	PREF
5201	5205	GO:0005623	cell	CELL	PREF
5231	5240	GO:0009058	formation	FORMATION	SYN
5696	5703	GO:0003675	protein	PROTEIN	SYN
5726	5758	GO:0036438	maintenance of lens transparency	MAINTENANCE OF LENS TRANSPARENCY	PREF
6252	6261	GO:0009058	formation	FORMATION	SYN
6332	6336	GO:0005623	cell	CELL	PREF
6620	6627	GO:0003675	protein	PROTEIN	SYN
7158	7162	GO:0005623	cell	CELL	PREF
7163	7172	GO:0009058	formation	FORMATION	SYN
7696	7702	GO:0007601	Vision	VISION	SYN
7772	7778	GO:0007601	Vision	VISION	SYN
12708	12715	GO:0042603	capsule	CAPSULE	PREF
12942	12954	GO:0005561	nucleic acid	NUCLEIC ACID	SYN
13185	13189	GO:0005623	Cell	CELL	PREF
13300	13313	GO:0005576	extracellular	EXTRACELLULAR	SYN
13461	13473	GO:0005561	nucleic acid	NUCLEIC ACID	SYN
13576	13588	GO:0005561	nucleic acid	NUCLEIC ACID	SYN
13779	13786	GO:0042603	capsule	CAPSULE	PREF
13896	13903	GO:0005634	nucleus	NUCLEUS	PREF
14078	14085	GO:0005634	nucleus	NUCLEUS	PREF
14182	14189	GO:0042603	capsule	CAPSULE	PREF
