StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
52	63	GO:0032502	development	DEVELOPMENT	SYN
190	194	GO:0005623	cell	CELL	PREF
190	200	GO:0007049	cell cycle	CELL CYCLE	PREF
241	245	GO:0005623	cell	CELL	PREF
241	251	GO:0008219	cell death	CELL DEATH	PREF
493	509	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
633	646	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
633	646	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
633	646	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
1417	1420	GO:0003904	pre	PRE	SYN
1598	1609	GO:0032502	development	DEVELOPMENT	SYN
2200	2207	GO:0003675	protein	PROTEIN	SYN
2902	2912	GO:0065007	regulation	REGULATION	SYN
2988	3004	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
3193	3199	GO:0040007	growth	GROWTH	PREF
3201	3212	GO:0032502	development	DEVELOPMENT	SYN
3241	3247	GO:0040007	growth	GROWTH	PREF
3275	3279	GO:0005623	cell	CELL	PREF
3275	3285	GO:0007049	cell cycle	CELL CYCLE	PREF
3348	3354	GO:0040007	growth	GROWTH	PREF
3368	3376	GO:0016020	membrane	MEMBRANE	PREF
3411	3423	GO:0005856	cytoskeleton	CYTOSKELETON	PREF
3428	3432	GO:0005623	cell	CELL	PREF
3428	3442	GO:0016477	cell migration	CELL MIGRATION	PREF
3455	3465	GO:0065007	regulation	REGULATION	SYN
3469	3473	GO:0005623	cell	CELL	PREF
3469	3479	GO:0008219	cell death	CELL DEATH	PREF
3455	3479	GO:0010941	regulation of cell death	REGULATION OF CELL DEATH	PREF
3489	3497	GO:0008219	necrosis	NECROSIS	SYN
3489	3497	GO:0001906	necrosis	NECROSIS	SYN
3489	3497	GO:0070265	necrosis	NECROSIS	SYN
3489	3497	GO:0019835	necrosis	NECROSIS	SYN
3489	3497	GO:0008220	necrosis	NECROSIS	SYN
3502	3511	GO:0097194	apoptosis	APOPTOSIS	SYN
3502	3511	GO:0006915	apoptosis	APOPTOSIS	SYN
3637	3641	GO:0005623	cell	CELL	PREF
3637	3647	GO:0008219	cell death	CELL DEATH	PREF
3701	3705	GO:0005623	cell	CELL	PREF
3892	3899	GO:0003675	protein	PROTEIN	SYN
4133	4139	GO:0040007	growth	GROWTH	PREF
4123	4146	GO:0005154	epidermal growth factor	EPIDERMAL GROWTH FACTOR	SYN
4148	4151	GO:0005154	EGF	EGF	SYN
4161	4165	GO:0005623	cell	CELL	PREF
4161	4174	GO:0048870	cell motility	CELL MOTILITY	PREF
4232	4239	GO:0003675	protein	PROTEIN	SYN
4285	4289	GO:0005623	cell	CELL	PREF
4581	4585	GO:0005623	cell	CELL	PREF
4980	4989	GO:0007565	gestation	GESTATION	SYN
5027	5043	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
5187	5203	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
5247	5256	GO:0009058	formation	FORMATION	SYN
5275	5283	GO:0008091	spectrin	SPECTRIN	PREF
5284	5293	GO:0009056	breakdown	BREAKDOWN	SYN
5561	5564	GO:0003904	pre	PRE	SYN
5764	5780	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
5817	5826	GO:0007565	gestation	GESTATION	SYN
6182	6195	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
6182	6195	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
6182	6195	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
6268	6279	GO:0032502	development	DEVELOPMENT	SYN
6437	6450	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
6437	6450	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
6437	6450	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
6784	6797	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
6784	6797	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
6784	6797	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
6942	6951	GO:0007565	gestation	GESTATION	SYN
7061	7074	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
7061	7074	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
7061	7074	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
7138	7142	GO:0005623	cell	CELL	PREF
7179	7183	GO:0005623	cell	CELL	PREF
7846	7849	GO:0004618	PGK	PGK	SYN
8214	8218	GO:0005623	cell	CELL	PREF
8281	8285	GO:0005623	cell	CELL	PREF
8432	8435	GO:0005574	DNA	DNA	SYN
8772	8776	GO:0005623	cell	CELL	PREF
9324	9327	GO:0004618	PGK	PGK	SYN
9713	9717	GO:0005623	cell	CELL	PREF
9916	9928	GO:0000003	reproduction	REPRODUCTION	PREF
10212	10223	GO:0032502	development	DEVELOPMENT	SYN
10738	10741	GO:0003904	pre	PRE	SYN
10853	10857	GO:0005623	cell	CELL	PREF
11057	11061	GO:0005623	cell	CELL	PREF
11097	11113	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
11261	11268	GO:0003675	protein	PROTEIN	SYN
11507	11510	GO:0003904	pre	PRE	SYN
11643	11646	GO:0003904	pre	PRE	SYN
12314	12317	GO:0004618	PGK	PGK	SYN
12575	12578	GO:0004618	PGK	PGK	SYN
12639	12642	GO:0003904	pre	PRE	SYN
12805	12818	GO:0009566	fertilization	FERTILIZATION	PREF
12890	12894	GO:0005623	cell	CELL	PREF
12964	12974	GO:0004175	proteinase	PROTEINASE	SYN
13587	13591	GO:0005623	cell	CELL	PREF
13838	13841	GO:0003904	pre	PRE	SYN
14528	14531	GO:0003904	pre	PRE	SYN
15534	15549	GO:0035822	gene conversion	GENE CONVERSION	PREF
15884	15888	GO:0005623	cell	CELL	PREF
15913	15929	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
15953	15957	GO:0005623	cell	CELL	PREF
16002	16006	GO:0005623	cell	CELL	PREF
16037	16053	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
16878	16889	GO:0032502	development	DEVELOPMENT	SYN
17092	17103	GO:0032502	development	DEVELOPMENT	SYN
17434	17454	GO:0070527	platelet aggregation	PLATELET AGGREGATION	PREF
17618	17631	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
17618	17631	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
17618	17631	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
17829	17840	GO:0032502	development	DEVELOPMENT	SYN
17932	17945	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
17932	17945	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
17932	17945	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
18024	18040	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
18319	18328	GO:0007565	gestation	GESTATION	SYN
18622	18625	GO:0004618	PGK	PGK	SYN
18697	18704	GO:0003675	protein	PROTEIN	SYN
18870	18886	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
19666	19679	GO:0009792	embryogenesis	EMBRYOGENESIS	SYN
19666	19679	GO:0009793	embryogenesis	EMBRYOGENESIS	SYN
19666	19679	GO:0009790	embryogenesis	EMBRYOGENESIS	SYN
20214	20217	GO:0004618	PGK	PGK	SYN
20407	20423	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
20528	20544	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
20868	20884	GO:0004198	calpain activity	CALPAIN ACTIVITY	SYN
